"Census Data API: Variables in /data/1990/sf3/variables
Name",Label,Concept,Required,Attributes,Limit,Predicate Type,Group,Values
AIANACC,American Indian/Alaska Native Area Class Code,Geographic Traits,not required, ,0,string,N/A,N/A
AIANACE,American Indian/Alaska Native Area (Census),Geographic Traits,not required, ,0,(not a predicate),N/A,N/A
AIANAFP,American Indian/Alaska Native Area (FIPS),Geographic Traits,not required, ,0,(not a predicate),N/A,N/A
ANPSADPI,Geography Name,Geographic Concepts,not required, ,0,string,N/A,N/A
ANRC,Alaska Native Regional Corporation,Geographic Traits,not required, ,0,(not a predicate),N/A,N/A
AREALAND,Area (land),Geographic Traits,not required, ,0,int,N/A,N/A
AREAWAT,Area (water),Geographic Traits,not required, ,0,int,N/A,N/A
ARTLI,American Indian Reservation Trust Land Indicator Code,Geographic Traits,not required, ,0,int,N/A,N/A
BLCKGR,Block Group,Selectable Geographies,not required, ,0,(not a predicate),N/A,N/A
CMSA,Consolidated Metropolitan Statistical Area,Geographic Traits,not required, ,0,int,N/A,N/A
CNTY,County (FIPS)),Selectable Geographies,not required, ,0,(not a predicate),N/A,N/A
CNTYSC,County Population Size Code,Geographic Traits,not required, ,0,int,N/A,N/A
CONCITCC,Consolidated City Class Code,Geographic Traits,not required, ,0,int,N/A,N/A
CONCITCE,Consolidated City(Census),Geographic Traits,not required, ,0,(not a predicate),N/A,N/A
CONCITFP,Consolidated City(FIPS),Geographic Traits,not required, ,0,(not a predicate),N/A,N/A
CONCITSC,Consolidated City Population Size Code,Geographic Traits,not required, ,0,int,N/A,N/A
CONGDIS,Congressional District(101st Congress),Geographic Traits,not required, ,0,(not a predicate),N/A,N/A
COUSUBCC,County Subdivision Class Code,Geographic Traits,not required, ,0,string,N/A,N/A
COUSUBCE,County Subdivision (Census),Geographic Traits,not required, ,0,(not a predicate),N/A,N/A
COUSUBFP,County Subdivision (FIPS),Selectable Geographies,not required, ,0,(not a predicate),N/A,N/A
COUSUBSC,County Subdivision Population Size Code,Geographic Traits,not required, ,0,int,N/A,N/A
DIVIS,Division,Geographic Traits,not required, ,0,(not a predicate),N/A,N/A
EXTCITIN,Extended City Indicator,Geographic Traits,not required, ,0,int,N/A,N/A
for,Census API FIPS 'for' clause,Census API Geography Specification,predicate-only, ,0,fips-for,N/A,N/A
FUNCSTAT,Functional Status Code,Geographic Traits,not required, ,0,string,N/A,N/A
GCUNI,Geographic Change User Note Indicator,Geographic Traits,not required, ,0,int,N/A,N/A
GEOCOMP,Geographic Component,Geographic Traits,not required, ,0,(not a predicate),N/A,N/A
H0010001,HOUSING UNITS[1]/Total,Housing Subjects,not required, ,0,int,N/A,N/A
H0020001,UNWEIGHT SAM COUNT HOUS UNITS[1]/Total,Housing Subjects,not required, ,0,int,N/A,N/A
H0030001,100-PERCENT COUNT HOUS UNITS[1]/Total,Housing Subjects,not required, ,0,int,N/A,N/A
H0040001,OCCUPANCY STATUS[2]/Occupied,Housing Subjects,not required, ,0,int,N/A,N/A
H0040002,OCCUPANCY STATUS[2]/Vacant,Housing Subjects,not required, ,0,int,N/A,N/A
H0050001,URBAN/RURAL[4] Urban: Insid urbaniz area,Housing Subjects,not required, ,0,int,N/A,N/A
H0050002,URBAN/RURAL[4] Urban: Outsi urbaniz area,Housing Subjects,not required, ,0,int,N/A,N/A
H0050003,URBAN/RURAL[4] Rural: Farm,Housing Subjects,not required, ,0,int,N/A,N/A
H0050004,URBAN/RURAL[4] Rural: Nonfarm,Housing Subjects,not required, ,0,int,N/A,N/A
H0060001,CONDO STAT VAC STAT[8] Condo: For rent,Housing Subjects,not required, ,0,int,N/A,N/A
H0060002,CONDO STAT VAC STA[8] Condo: For sale on,Housing Subjects,not required, ,0,int,N/A,N/A
H0060003,CON STA VAC STA[8] Con: Seas/rec/occas,Housing Subjects,not required, ,0,int,N/A,N/A
H0060004,CON STA VAC STA[8] Con: All other vacant,Housing Subjects,not required, ,0,int,N/A,N/A
H0060005,CON STA VAC STA[8] Not condo: For rent,Housing Subjects,not required, ,0,int,N/A,N/A
H0060006,CON STA VAC STA[8] Not con: For sale on,Housing Subjects,not required, ,0,int,N/A,N/A
H0060007,CON STA VAC STA[8] Not con: Sea/rec/occa,Housing Subjects,not required, ,0,int,N/A,N/A
H0060008,CON STA VAC STA[8] Not con: All othr vac,Housing Subjects,not required, ,0,int,N/A,N/A
H0070001,Condo/Owner occupied: With a mortgage,Housing Subjects,not required, ,0,int,N/A,N/A
H0070002,Condo/Owner occupied: Not mortgaged,Housing Subjects,not required, ,0,int,N/A,N/A
H0070003,Condo: Renter occupied,Housing Subjects,not required, ,0,int,N/A,N/A
H0070004,Not condo/Owner occupied: With mortgage,Housing Subjects,not required, ,0,int,N/A,N/A
H0070005,Not condo/Owner occupied: Not mortgaged,Housing Subjects,not required, ,0,int,N/A,N/A
H0070006,Not condo/Renter occupied,Housing Subjects,not required, ,0,int,N/A,N/A
H0080001,TENURE[2] Owner occupied,Housing Subjects,not required, ,0,int,N/A,N/A
H0080002,TENURE[2] Renter occupied,Housing Subjects,not required, ,0,int,N/A,N/A
H0090001,RACE OF HOUSEHOLDER[5] White,Housing Subjects,not required, ,0,int,N/A,N/A
H0090002,RACE OF HOUSEHOLDER[5] Black,Housing Subjects,not required, ,0,int,N/A,N/A
H0090003,"RACE OF HHOLDER[5] Amer Ind, Esk, Aleut",Housing Subjects,not required, ,0,int,N/A,N/A
H0090004,"RACE OF HHOLDER[5] Asian, Pacific Island",Housing Subjects,not required, ,0,int,N/A,N/A
H0090005,RACE OF HHOLDER[5] Other race,Housing Subjects,not required, ,0,int,N/A,N/A
H0100001,Owner occupied: White,Housing Subjects,not required, ,0,int,N/A,N/A
H0100002,Owner occupied: Black,Housing Subjects,not required, ,0,int,N/A,N/A
H0100003,"Owner occupied: Amer Ind, Eskimo, Aleut",Housing Subjects,not required, ,0,int,N/A,N/A
H0100004,"Owner occupied: Asian, Pacific Islander",Housing Subjects,not required, ,0,int,N/A,N/A
H0100005,Owner occupied: Other race,Housing Subjects,not required, ,0,int,N/A,N/A
H0100006,Renter occupied: White,Housing Subjects,not required, ,0,int,N/A,N/A
H0100007,Renter occupied: Black,Housing Subjects,not required, ,0,int,N/A,N/A
H0100008,"Renter occupied: Amer Ind, Eskimo, Aleut",Housing Subjects,not required, ,0,int,N/A,N/A
H0100009,"Renter occupied: Asian, Pacific Islander",Housing Subjects,not required, ,0,int,N/A,N/A
H0100010,Renter occupied: Other race,Housing Subjects,not required, ,0,int,N/A,N/A
H0110001,Not of Hispanic origin: White,Housing Subjects,not required, ,0,int,N/A,N/A
H0110002,Not of Hispanic origin: Black,Housing Subjects,not required, ,0,int,N/A,N/A
H0110003,"Not of Hispanic or: Amer Ind, Esk, Aleut",Housing Subjects,not required, ,0,int,N/A,N/A
H0110004,"Not of Hispanic or: Asian, Pacific Islan",Housing Subjects,not required, ,0,int,N/A,N/A
H0110005,Not of Hispanic origin: Other race,Housing Subjects,not required, ,0,int,N/A,N/A
H0110006,Hispanic origin: White,Housing Subjects,not required, ,0,int,N/A,N/A
H0110007,Hispanic origin: Black,Housing Subjects,not required, ,0,int,N/A,N/A
H0110008,"Hispanic origin: Amer Ind, Eskimo, Aleut",Housing Subjects,not required, ,0,int,N/A,N/A
H0110009,"Hispanic origin: Asian, Pacific Islander",Housing Subjects,not required, ,0,int,N/A,N/A
H0110010,Hispanic origin: Other race,Housing Subjects,not required, ,0,int,N/A,N/A
H0120001,Owner occupied: White,Housing Subjects,not required, ,0,int,N/A,N/A
H0120002,Owner occupied: Black,Housing Subjects,not required, ,0,int,N/A,N/A
H0120003,"Owner occupied: Amer Ind, Eskimo, Aleut",Housing Subjects,not required, ,0,int,N/A,N/A
H0120004,"Owner occupied: Asian, Pacific Islander",Housing Subjects,not required, ,0,int,N/A,N/A
H0120005,Owner occupied: Other race,Housing Subjects,not required, ,0,int,N/A,N/A
H0120006,Renter occupied: White,Housing Subjects,not required, ,0,int,N/A,N/A
H0120007,Renter occupied: Black,Housing Subjects,not required, ,0,int,N/A,N/A
H0120008,"Renter occupied: Amer Ind, Eskimo, Aleut",Housing Subjects,not required, ,0,int,N/A,N/A
H0120009,"Renter occupied: Asian, Pacific Islander",Housing Subjects,not required, ,0,int,N/A,N/A
