"","X","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"11",155,4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,941300,4013941300,6293,2609,"P",218380934,211256593,217676841,210932537,99.87,99.87,99.68,99.85,6290,100,99.95,2608,100,99.96
"50",194,4,13,30338,4013030338,6719,2853,"P",14374366,14335332,4,13,614400,4013614400,3567,1477,"P",2249763,2249763,8444,8444,0.06,0.06,0.38,0.38,23,0.34,0.64,10,0.35,0.68
"54",198,4,13,30341,4013030341,2817,2252,"W",2616776,2613232,4,13,615500,4013615500,2817,2252,"P",2617223,2613679,2616776,2613232,100,100,99.98,99.98,2817,100,100,2252,100,100
"55",199,4,13,30342,4013030342,40790,15968,"P",172549579,172351352,4,13,610800,4013610800,3505,1306,"P",52233803,52148007,288,288,0,0,0,0,0,0,0,0,0,0
"72",216,4,13,30345,4013030345,4891,1991,"W",5224065,5214323,4,13,614200,4013614200,4891,1991,"P",5224739,5214997,5224065,5214323,100,100,99.99,99.99,4891,100,100,1991,100,100
"75",219,4,13,30347,4013030347,2991,1214,"W",2068902,1964395,4,13,615700,4013615700,2991,1214,"P",2081086,1964395,2068902,1964395,100,100,99.41,100,2991,100,100,1214,100,100
"79",223,4,13,30351,4013030351,3318,1731,"P",2546800,2523129,4,13,617600,4013617600,6106,2834,"P",2573003,2570023,15,15,0,0,0,0,0,0,0,0,0,0
"96",240,4,13,30365,4013030365,2299,981,"P",2308059,2301272,4,13,612900,4013612900,2409,988,"P",2475511,2475511,22836,22836,0.99,0.99,0.92,0.92,28,1.22,1.16,14,1.43,1.42
"98",242,4,13,30367,4013030367,11146,4457,"P",36939963,36920788,4,13,612400,4013612400,6840,2716,"P",55886574,55860096,30111162,30091987,81.51,81.5,53.88,53.87,6840,61.37,100,2716,60.94,100
"103",247,4,13,30369,4013030369,2272,1639,"P",2705175,2703428,4,13,617400,4013617400,6813,4368,"P",6822711,6779537,32830,32830,1.21,1.21,0.48,0.48,13,0.57,0.19,9,0.55,0.21
"110",254,4,13,30373,4013030373,6154,2075,"W",4161936,4161936,4,13,613900,4013613900,6154,2075,"P",4177816,4177816,4161936,4161936,100,100,99.62,99.62,6154,100,100,2075,100,100
"112",256,4,13,30374,4013030374,5911,1840,"P",4895937,4895937,4,13,611400,4013611400,6232,2272,"P",5360576,5360576,45,45,0,0,0,0,0,0,0,0,0,0
"113",257,4,13,30375,4013030375,15292,5310,"P",89827343,88928737,4,13,610000,4013610000,7044,2568,"P",324993459,321100691,65865,65865,0.07,0.07,0.02,0.02,0,0,0,0,0,0
"114",258,4,13,30375,4013030375,15292,5310,"P",89827343,88928737,4,13,610800,4013610800,3505,1306,"P",52233803,52148007,52029468,51943672,57.92,58.41,99.61,99.61,3505,22.92,100,1306,24.6,100
"118",262,4,13,30375,4013030375,15292,5310,"P",89827343,88928737,4,13,611200,4013611200,5911,1840,"P",4903426,4903426,7534,7534,0.01,0.01,0.15,0.15,0,0,0,0,0,0
"119",263,4,13,30375,4013030375,15292,5310,"P",89827343,88928737,4,13,611300,4013611300,4659,2189,"P",56179370,56145529,2078,2078,0,0,0,0,0,0,0,0,0,0
"120",264,4,13,30375,4013030375,15292,5310,"P",89827343,88928737,4,13,611400,4013611400,6232,2272,"P",5360576,5360576,27162,27162,0.03,0.03,0.51,0.51,0,0,0,0,0,0
"121",265,4,13,30375,4013030375,15292,5310,"P",89827343,88928737,4,13,613400,4013613400,3937,1553,"P",3912685,3911586,86426,86426,0.1,0.1,2.21,2.21,15,0.1,0.38,5,0.09,0.32
"122",266,4,13,30375,4013030375,15292,5310,"P",89827343,88928737,4,13,613500,4013613500,4082,1737,"P",2602313,2602313,28796,28796,0.03,0.03,1.11,1.11,14,0.09,0.34,4,0.08,0.23
