"","X","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"1",145,4,13,10100,4013010100,9716,6391,"P",2794980077,2762741625,4,13,10101,4013010101,5073,3137,"W",54316160,54285834,54316160,54285834,1.94,1.96,100,100,5073,52.21,100,3137,49.08,100
"2",146,4,13,10100,4013010100,9716,6391,"P",2794980077,2762741625,4,13,10102,4013010102,4640,3253,"W",2740265531,2708433980,2740265531,2708433980,98.04,98.03,100,100,4640,47.76,100,3253,50.9,100
"4",148,4,13,20201,4013020201,971,308,"W",100902863,99968323,4,13,941200,4013941200,971,308,"W",100902863,99968323,100902863,99968323,100,100,100,100,971,100,100,308,100,100
"12",156,4,13,30302,4013030302,4241,1684,"W",2295572,2295572,4,13,618600,4013618600,4241,1684,"W",2295572,2295572,2295572,2295572,100,100,100,100,4241,100,100,1684,100,100
"13",157,4,13,30303,4013030303,5074,2334,"W",1258093,1258093,4,13,618800,4013618800,5074,2334,"W",1258093,1258093,1258093,1258093,100,100,100,100,5074,100,100,2334,100,100
"14",158,4,13,30304,4013030304,6215,3055,"W",2571882,2571791,4,13,618900,4013618900,6215,3055,"W",2571882,2571791,2571882,2571791,100,100,100,100,6215,100,100,3055,100,100
"15",159,4,13,30307,4013030307,2859,1034,"W",1258864,1258864,4,13,618700,4013618700,2859,1034,"W",1258864,1258864,1258864,1258864,100,100,100,100,2859,100,100,1034,100,100
"16",160,4,13,30308,4013030308,3068,1569,"W",1289387,1289387,4,13,619000,4013619000,3068,1569,"W",1289387,1289387,1289387,1289387,100,100,100,100,3068,100,100,1569,100,100
"17",161,4,13,30309,4013030309,4347,1719,"W",2708685,2694151,4,13,618100,4013618100,4347,1719,"W",2708685,2694151,2708685,2694151,100,100,100,100,4347,100,100,1719,100,100
"18",162,4,13,30310,4013030310,2954,1556,"W",326526,326526,4,13,619100,4013619100,2954,1556,"W",326526,326526,326526,326526,100,100,100,100,2954,100,100,1556,100,100
"19",163,4,13,30311,4013030311,3316,2297,"W",3264069,3239956,4,13,617500,4013617500,3316,2297,"W",3264069,3239956,3264069,3239956,100,100,100,100,3316,100,100,2297,100,100
"21",165,4,13,30313,4013030313,2679,1841,"P",2627817,2612458,4,13,615400,4013615400,2679,1841,"W",2627370,2612011,2627370,2612011,99.98,99.98,100,100,2679,100,100,1841,100,100
"23",167,4,13,30314,4013030314,4453,2290,"W",969175,969175,4,13,619200,4013619200,4453,2290,"W",969175,969175,969175,969175,100,100,100,100,4453,100,100,2290,100,100
"24",168,4,13,30315,4013030315,8241,4317,"P",2605256,2605256,4,13,619300,4013619300,3972,2112,"W",1309965,1309965,1309965,1309965,50.28,50.28,100,100,3972,48.2,100,2112,48.92,100
"25",169,4,13,30315,4013030315,8241,4317,"P",2605256,2605256,4,13,619400,4013619400,4269,2205,"W",1295291,1295291,1295291,1295291,49.72,49.72,100,100,4269,51.8,100,2205,51.08,100
"26",170,4,13,30316,4013030316,4154,1834,"W",1973897,1973897,4,13,614800,4013614800,4154,1834,"W",1973897,1973897,1973897,1973897,100,100,100,100,4154,100,100,1834,100,100
"28",172,4,13,30318,4013030318,3438,1701,"P",2036772,2036772,4,13,616500,4013616500,3438,1701,"W",2012363,2012363,2012363,2012363,98.8,98.8,100,100,3438,100,100,1701,100,100
"29",173,4,13,30319,4013030319,5696,2228,"W",2537638,2537638,4,13,616600,4013616600,5696,2228,"W",2537638,2537638,2537638,2537638,100,100,100,100,5696,100,100,2228,100,100
"30",174,4,13,30322,4013030322,3851,1608,"W",1305200,1305200,4,13,618200,4013618200,3851,1608,"W",1305200,1305200,1305200,1305200,100,100,100,100,3851,100,100,1608,100,100
"31",175,4,13,30323,4013030323,3849,1468,"W",1488786,1488045,4,13,618400,4013618400,3849,1468,"W",1488786,1488045,1488786,1488045,100,100,100,100,3849,100,100,1468,100,100
"32",176,4,13,30324,4013030324,3026,1145,"W",1413807,1413807,4,13,618300,4013618300,3026,1145,"W",1413807,1413807,1413807,1413807,100,100,100,100,3026,100,100,1145,100,100
"34",178,4,13,30326,4013030326,4555,1648,"W",2784457,2781244,4,13,618000,4013618000,4555,1648,"W",2784457,2781244,2784457,2781244,100,100,100,100,4555,100,100,1648,100,100
"35",179,4,13,30327,4013030327,3647,1714,"W",1507495,1507495,4,13,618500,4013618500,3647,1714,"W",1507495,1507495,1507495,1507495,100,100,100,100,3647,100,100,1714,100,100
"36",180,4,13,30328,4013030328,6628,3055,"W",3382352,3382352,4,13,614600,4013614600,6628,3055,"W",3382352,3382352,3382352,3382352,100,100,100,100,6628,100,100,3055,100,100
"40",184,4,13,30330,4013030330,5092,2170,"W",2588575,2588575,4,13,619500,4013619500,5092,2170,"W",2588575,2588575,2588575,2588575,100,100,100,100,5092,100,100,2170,100,100
"41",185,4,13,30331,4013030331,1912,788,"W",2590877,2578785,4,13,619600,4013619600,1912,788,"W",2590877,2578785,2590877,2578785,100,100,100,100,1912,100,100,788,100,100
"42",186,4,13,30332,4013030332,3443,1497,"W",1408303,1408303,4,13,619700,4013619700,3443,1497,"W",1408303,1408303,1408303,1408303,100,100,100,100,3443,100,100,1497,100,100
"43",187,4,13,30333,4013030333,5386,3802,"W",26963395,26764975,4,13,615200,4013615200,5386,3802,"W",26963395,26764975,26963395,26764975,100,100,100,100,5386,100,100,3802,100,100
"44",188,4,13,30334,4013030334,4738,1969,"W",2475482,2475482,4,13,616700,4013616700,4738,1969,"W",2475482,2475482,2475482,2475482,100,100,100,100,4738,100,100,1969,100,100
"45",189,4,13,30335,4013030335,5595,2353,"W",2469401,2469401,4,13,616800,4013616800,5595,2353,"W",2469401,2469401,2469401,2469401,100,100,100,100,5595,100,100,2353,100,100
"46",190,4,13,30336,4013030336,3219,1281,"W",1227917,1227917,4,13,616200,4013616200,3219,1281,"W",1227917,1227917,1227917,1227917,100,100,100,100,3219,100,100,1281,100,100
"47",191,4,13,30337,4013030337,5701,3055,"W",3041666,3039170,4,13,616400,4013616400,5701,3055,"W",3041666,3039170,3041666,3039170,100,100,100,100,5701,100,100,3055,100,100
"49",193,4,13,30338,4013030338,6719,2853,"P",14374366,14335332,4,13,614300,4013614300,3124,1335,"W",12977399,12938365,12977399,12938365,90.28,90.26,100,100,3124,46.5,100,1335,46.79,100
"51",195,4,13,30338,4013030338,6719,2853,"P",14374366,14335332,4,13,616100,4013616100,3572,1508,"W",1387849,1387849,1387849,1387849,9.66,9.68,100,100,3572,53.16,100,1508,52.86,100
"52",196,4,13,30339,4013030339,2691,1105,"W",2386312,2382874,4,13,617900,4013617900,2691,1105,"W",2386312,2382874,2386312,2382874,100,100,100,100,2691,100,100,1105,100,100
"58",202,4,13,30342,4013030342,40790,15968,"P",172549579,172351352,4,13,611500,4013611500,5639,1973,"W",5608846,5608846,5608846,5608846,3.25,3.25,100,100,5639,13.82,100,1973,12.36,100
"59",203,4,13,30342,4013030342,40790,15968,"P",172549579,172351352,4,13,611600,4013611600,3062,1104,"W",4476768,4476768,4476768,4476768,2.59,2.6,100,100,3062,7.51,100,1104,6.91,100
"60",204,4,13,30342,4013030342,40790,15968,"P",172549579,172351352,4,13,611900,4013611900,3171,944,"W",10564453,10564453,10564453,10564453,6.12,6.13,100,100,3171,7.77,100,944,5.91,100
"61",205,4,13,30342,4013030342,40790,15968,"P",172549579,172351352,4,13,612000,4013612000,2710,1052,"W",14697763,14693481,14697763,14693481,8.52,8.53,100,100,2710,6.64,100,1052,6.59,100
"62",206,4,13,30342,4013030342,40790,15968,"P",172549579,172351352,4,13,612200,4013612200,3383,1583,"W",22976505,22973887,22976505,22973887,13.32,13.33,100,100,3383,8.29,100,1583,9.91,100
"63",207,4,13,30342,4013030342,40790,15968,"P",172549579,172351352,4,13,612300,4013612300,7278,3106,"W",23402934,23252751,23402934,23252751,13.56,13.49,100,100,7278,17.84,100,3106,19.45,100
"65",209,4,13,30342,4013030342,40790,15968,"P",172549579,172351352,4,13,614500,4013614500,4656,1745,"W",3535949,3535949,3535949,3535949,2.05,2.05,100,100,4656,11.41,100,1745,10.93,100
"67",211,4,13,30343,4013030343,11518,5282,"P",28718479,28709127,4,13,613000,4013613000,2945,1226,"W",10280006,10270654,10280006,10270654,35.8,35.77,100,100,2945,25.57,100,1226,23.21,100
"68",212,4,13,30343,4013030343,11518,5282,"P",28718479,28709127,4,13,613100,4013613100,2640,1641,"W",5600865,5600865,5600865,5600865,19.5,19.51,100,100,2640,22.92,100,1641,31.07,100
"69",213,4,13,30343,4013030343,11518,5282,"P",28718479,28709127,4,13,613200,4013613200,3552,1441,"W",10384933,10384933,10384933,10384933,36.16,36.17,100,100,3552,30.84,100,1441,27.28,100
"71",215,4,13,30344,4013030344,4398,1574,"P",2742963,2742963,4,13,614000,4013614000,4398,1574,"W",2727083,2727083,2727083,2727083,99.42,99.42,100,100,4398,100,100,1574,100,100
"73",217,4,13,30346,4013030346,5724,2180,"P",3410214,3392000,4,13,614100,4013614100,5724,2180,"W",3398030,3392000,3398030,3392000,99.64,100,100,100,5724,100,100,2180,100,100
"76",220,4,13,30348,4013030348,4906,2177,"W",2703585,2703585,4,13,615800,4013615800,4906,2177,"W",2703585,2703585,2703585,2703585,100,100,100,100,4906,100,100,2177,100,100
"77",221,4,13,30349,4013030349,4362,1886,"W",2431619,2431619,4,13,615900,4013615900,4362,1886,"W",2431619,2431619,2431619,2431619,100,100,100,100,4362,100,100,1886,100,100
"78",222,4,13,30350,4013030350,2237,696,"W",2511187,2511187,4,13,616000,4013616000,2237,696,"W",2511187,2511187,2511187,2511187,100,100,100,100,2237,100,100,696,100,100
"80",224,4,13,30351,4013030351,3318,1731,"P",2546800,2523129,4,13,617700,4013617700,3318,1731,"W",2546785,2523114,2546785,2523114,100,100,100,100,3318,100,100,1731,100,100
"81",225,4,13,30352,4013030352,2613,953,"W",2837450,2837450,4,13,617800,4013617800,2613,953,"W",2837450,2837450,2837450,2837450,100,100,100,100,2613,100,100,953,100,100
"82",226,4,13,30354,4013030354,4312,2113,"W",1416460,1416460,4,13,619800,4013619800,4312,2113,"W",1416460,1416460,1416460,1416460,100,100,100,100,4312,100,100,2113,100,100
"83",227,4,13,30355,4013030355,5891,2788,"W",3998319,3998319,4,13,617000,4013617000,5891,2788,"W",3998319,3998319,3998319,3998319,100,100,100,100,5891,100,100,2788,100,100
"84",228,4,13,30356,4013030356,7790,3413,"P",3102644,3102644,4,13,617100,4013617100,2222,942,"W",977413,977413,977413,977413,31.5,31.5,100,100,2222,28.52,100,942,27.6,100
"85",229,4,13,30356,4013030356,7790,3413,"P",3102644,3102644,4,13,617200,4013617200,2538,1055,"W",967369,967369,967369,967369,31.18,31.18,100,100,2538,32.58,100,1055,30.91,100
"86",230,4,13,30356,4013030356,7790,3413,"P",3102644,3102644,4,13,617300,4013617300,3030,1416,"W",1157862,1157862,1157862,1157862,37.32,37.32,100,100,3030,38.9,100,1416,41.49,100
"87",231,4,13,30357,4013030357,5990,2354,"W",3437759,3437759,4,13,619900,4013619900,5990,2354,"W",3437759,3437759,3437759,3437759,100,100,100,100,5990,100,100,2354,100,100
"88",232,4,13,30358,4013030358,10013,4533,"P",17614292,17504864,4,13,615000,4013615000,6630,3175,"W",15359522,15250094,15359522,15250094,87.2,87.12,100,100,6630,66.21,100,3175,70.04,100
"89",233,4,13,30358,4013030358,10013,4533,"P",17614292,17504864,4,13,615100,4013615100,3383,1358,"W",2254770,2254770,2254770,2254770,12.8,12.88,100,100,3383,33.79,100,1358,29.96,100
"91",235,4,13,30360,4013030360,2044,789,"W",2686802,2683263,4,13,616300,4013616300,2044,789,"W",2686802,2683263,2686802,2683263,100,100,100,100,2044,100,100,789,100,100
"92",236,4,13,30361,4013030361,6540,2468,"W",2577145,2577145,4,13,611800,4013611800,6540,2468,"W",2577145,2577145,2577145,2577145,100,100,100,100,6540,100,100,2468,100,100
"93",237,4,13,30363,4013030363,7102,2611,"W",37920128,37909216,4,13,613300,4013613300,7102,2611,"W",37920128,37909216,37920128,37909216,100,100,100,100,7102,100,100,2611,100,100
"94",238,4,13,30364,4013030364,2110,902,"W",2193743,2193743,4,13,612800,4013612800,2110,902,"W",2193743,2193743,2193743,2193743,100,100,100,100,2110,100,100,902,100,100
"95",239,4,13,30365,4013030365,2299,981,"P",2308059,2301272,4,13,612700,4013612700,2271,967,"W",2285223,2278436,2285223,2278436,99.01,99.01,100,100,2271,98.78,100,967,98.57,100
"97",241,4,13,30366,4013030366,2342,1067,"W",1327179,1327179,4,13,612600,4013612600,2342,1067,"W",1327179,1327179,1327179,1327179,100,100,100,100,2342,100,100,1067,100,100
"99",243,4,13,30367,4013030367,11146,4457,"P",36939963,36920788,4,13,612500,4013612500,4306,1741,"W",6822710,6822710,6822710,6822710,18.47,18.48,100,100,4306,38.63,100,1741,39.06,100
"101",245,4,13,30368,4013030368,3776,2412,"W",3088931,2980315,4,13,615600,4013615600,3776,2412,"W",3088931,2980315,3088931,2980315,100,100,100,100,3776,100,100,2412,100,100
"102",246,4,13,30369,4013030369,2272,1639,"P",2705175,2703428,4,13,615300,4013615300,2259,1630,"W",2672345,2670598,2672345,2670598,98.79,98.79,100,100,2259,99.43,100,1630,99.45,100
"106",250,4,13,30371,4013030371,21373,8070,"P",18722705,18720953,4,13,613600,4013613600,3967,1606,"W",6371296,6370643,6371296,6370643,34.03,34.03,100,100,3967,18.56,100,1606,19.9,100
"107",251,4,13,30371,4013030371,21373,8070,"P",18722705,18720953,4,13,613700,4013613700,5341,1765,"W",2236793,2236793,2236793,2236793,11.95,11.95,100,100,5341,24.99,100,1765,21.87,100
"108",252,4,13,30371,4013030371,21373,8070,"P",18722705,18720953,4,13,613800,4013613800,4075,1418,"W",3714840,3714840,3714840,3714840,19.84,19.84,100,100,4075,19.07,100,1418,17.57,100
"109",253,4,13,30372,4013030372,6304,2303,"W",7558917,7558917,4,13,611700,4013611700,6304,2303,"W",7558917,7558917,7558917,7558917,100,100,100,100,6304,100,100,2303,100,100
"115",259,4,13,30375,4013030375,15292,5310,"P",89827343,88928737,4,13,610900,4013610900,6027,2097,"W",26288732,25476596,26288732,25476596,29.27,28.65,100,100,6027,39.41,100,2097,39.49,100
"116",260,4,13,30375,4013030375,15292,5310,"P",89827343,88928737,4,13,611000,4013611000,2461,837,"W",5609730,5609056,5609730,5609056,6.25,6.31,100,100,2461,16.09,100,837,15.76,100
"117",261,4,13,30375,4013030375,15292,5310,"P",89827343,88928737,4,13,611100,4013611100,3270,1061,"W",5681552,5681552,5681552,5681552,6.32,6.39,100,100,3270,21.38,100,1061,19.98,100
"125",269,4,13,30378,4013030378,35086,14203,"P",83758586,83703550,4,13,610100,4013610100,1322,566,"W",21772813,21772813,21772813,21772813,25.99,26.01,100,100,1322,3.77,100,566,3.99,100
"126",270,4,13,30378,4013030378,35086,14203,"P",83758586,83703550,4,13,610200,4013610200,7612,3754,"W",10094806,10087620,10094806,10087620,12.05,12.05,100,100,7612,21.7,100,3754,26.43,100
"127",271,4,13,30378,4013030378,35086,14203,"P",83758586,83703550,4,13,610300,4013610300,8959,3246,"W",7020290,7020290,7020290,7020290,8.38,8.39,100,100,8959,25.53,100,3246,22.85,100
"128",272,4,13,30378,4013030378,35086,14203,"P",83758586,83703550,4,13,610400,4013610400,5129,1801,"W",3381135,3379206,3381135,3379206,4.04,4.04,100,100,5129,14.62,100,1801,12.68,100
"129",273,4,13,30378,4013030378,35086,14203,"P",83758586,83703550,4,13,610500,4013610500,6496,2606,"W",32114570,32097221,32114570,32097221,38.34,38.35,100,100,6496,18.51,100,2606,18.35,100
"130",274,4,13,30378,4013030378,35086,14203,"P",83758586,83703550,4,13,610600,4013610600,5546,2220,"W",9267909,9239337,9267909,9239337,11.07,11.04,100,100,5546,15.81,100,2220,15.63,100
"135",279,4,13,30400,4013030400,8178,5022,"P",84731846,84702329,4,13,30401,4013030401,4283,2927,"W",26533476,26517655,26533476,26517655,31.31,31.31,100,100,4283,52.37,100,2927,58.28,100
"136",280,4,13,30400,4013030400,8178,5022,"P",84731846,84702329,4,13,30402,4013030402,3895,2095,"W",58198370,58184674,58198370,58184674,68.69,68.69,100,100,3895,47.63,100,2095,41.72,100
"139",283,4,13,40505,4013040505,7825,5563,"P",9628456,9626633,4,13,40512,4013040512,1690,1162,"W",1952396,1952396,1952396,1952396,20.28,20.28,100,100,1690,21.6,100,1162,20.89,100
"141",285,4,13,40505,4013040505,7825,5563,"P",9628456,9626633,4,13,40514,4013040514,3104,2229,"W",3907862,3906039,3907862,3906039,40.59,40.58,100,100,3104,39.67,100,2229,40.07,100
"144",288,4,13,40508,4013040508,6954,4255,"P",4335546,4323873,4,13,40530,4013040530,3559,1518,"W",1650312,1645002,1650312,1645002,38.06,38.04,100,100,3559,51.18,100,1518,35.68,100
"145",289,4,13,40508,4013040508,6954,4255,"P",4335546,4323873,4,13,40531,4013040531,3395,2737,"W",2685234,2678871,2685234,2678871,61.94,61.96,100,100,3395,48.82,100,2737,64.32,100
"147",291,4,13,40509,4013040509,41726,20791,"P",3540098434,3535679973,4,13,40515,4013040515,4792,2625,"W",2257997072,2257688110,2257997072,2257688110,63.78,63.85,100,100,4792,11.48,100,2625,12.63,100
"149",293,4,13,40509,4013040509,41726,20791,"P",3540098434,3535679973,4,13,40517,4013040517,7621,2967,"W",153166250,152959244,153166250,152959244,4.33,4.33,100,100,7621,18.26,100,2967,14.27,100
"151",295,4,13,40509,4013040509,41726,20791,"P",3540098434,3535679973,4,13,40519,4013040519,3595,2266,"W",229716237,227410659,229716237,227410659,6.49,6.43,100,100,3595,8.62,100,2266,10.9,100
"152",296,4,13,40509,4013040509,41726,20791,"P",3540098434,3535679973,4,13,40520,4013040520,4142,1483,"W",22249225,22247215,22249225,22247215,0.63,0.63,100,100,4142,9.93,100,1483,7.13,100
"153",297,4,13,40509,4013040509,41726,20791,"P",3540098434,3535679973,4,13,40521,4013040521,4560,1612,"W",33731138,32566652,33731138,32566652,0.95,0.92,100,100,4560,10.93,100,1612,7.75,100
"154",298,4,13,40509,4013040509,41726,20791,"P",3540098434,3535679973,4,13,40522,4013040522,4181,2935,"W",5564239,5564239,5564239,5564239,0.16,0.16,100,100,4181,10.02,100,2935,14.12,100
"155",299,4,13,40509,4013040509,41726,20791,"P",3540098434,3535679973,4,13,40523,4013040523,3300,2164,"W",4373309,4363941,4373309,4363941,0.12,0.12,100,100,3300,7.91,100,2164,10.41,100
"159",303,4,13,40510,4013040510,9434,6782,"P",11813582,11813582,4,13,40528,4013040528,6212,4437,"W",7755630,7755630,7755630,7755630,65.65,65.65,100,100,6212,65.85,100,4437,65.42,100
"160",304,4,13,40510,4013040510,9434,6782,"P",11813582,11813582,4,13,40529,4013040529,3222,2345,"W",4057952,4057952,4057952,4057952,34.35,34.35,100,100,3222,34.15,100,2345,34.58,100
"161",305,4,13,40511,4013040511,11069,7505,"P",10716803,10713666,4,13,40524,4013040524,1474,1015,"W",2204772,2201635,2204772,2201635,20.57,20.55,100,100,1474,13.32,100,1015,13.52,100
"162",306,4,13,40511,4013040511,11069,7505,"P",10716803,10713666,4,13,40525,4013040525,3046,2116,"W",3574013,3574013,3574013,3574013,33.35,33.36,100,100,3046,27.52,100,2116,28.19,100
"163",307,4,13,40511,4013040511,11069,7505,"P",10716803,10713666,4,13,40526,4013040526,2365,1632,"W",2497304,2497304,2497304,2497304,23.3,23.31,100,100,2365,21.37,100,1632,21.75,100
"164",308,4,13,40511,4013040511,11069,7505,"P",10716803,10713666,4,13,40527,4013040527,4184,2742,"W",2440714,2440714,2440714,2440714,22.77,22.78,100,100,4184,37.8,100,2742,36.54,100
"166",310,4,13,50601,4013050601,31027,11402,"P",202398189,202398189,4,13,50607,4013050607,6505,2405,"W",83148580,83148580,83148580,83148580,41.08,41.08,100,100,6505,20.97,100,2405,21.09,100
"167",311,4,13,50601,4013050601,31027,11402,"P",202398189,202398189,4,13,50608,4013050608,7163,2722,"W",12997513,12997513,12997513,12997513,6.42,6.42,100,100,7163,23.09,100,2722,23.87,100
"169",313,4,13,50601,4013050601,31027,11402,"P",202398189,202398189,4,13,50610,4013050610,7915,2623,"W",37095279,37095279,37095279,37095279,18.33,18.33,100,100,7915,25.51,100,2623,23,100
"170",314,4,13,50601,4013050601,31027,11402,"P",202398189,202398189,4,13,50611,4013050611,4477,1511,"W",58767057,58767057,58767057,58767057,29.04,29.04,100,100,4477,14.43,100,1511,13.25,100
"173",317,4,13,50602,4013050602,16261,6286,"P",1000342385,1000007947,4,13,50604,4013050604,3727,1436,"W",309799487,309585245,309799487,309585245,30.97,30.96,100,100,3727,22.92,100,1436,22.84,100
"180",324,4,13,50700,4013050700,10372,3966,"P",15381195,15381195,4,13,50702,4013050702,5280,2059,"W",8069691,8069691,8069691,8069691,52.46,52.46,100,100,5280,50.91,100,2059,51.92,100
"181",325,4,13,60800,4013060800,7807,3570,"P",7282293,7193585,4,13,60801,4013060801,5832,2833,"W",3680119,3677182,3680119,3677182,50.54,51.12,100,100,5832,74.7,100,2833,79.36,100
"184",328,4,13,60900,4013060900,16956,5337,"P",5973914,5960142,4,13,60901,4013060901,4640,1543,"W",1625929,1618399,1625929,1618399,27.22,27.15,100,100,4640,27.36,100,1543,28.91,100
