"","X","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"137",281,4,13,40502,4013040502,4861,2696,"W",20551377,20544309,4,13,40502,4013040502,4861,2696,"W",20551377,20544309,20551377,20544309,100,100,100,100,4861,100,100,2696,100,100
"142",286,4,13,40506,4013040506,5209,4236,"W",6357576,6347084,4,13,40506,4013040506,5209,4236,"W",6357576,6347084,6357576,6347084,100,100,100,100,5209,100,100,4236,100,100
"143",287,4,13,40507,4013040507,6097,4689,"W",7626201,7609381,4,13,40507,4013040507,6097,4689,"P",7628004,7611184,7626201,7609381,100,100,99.98,99.98,6097,100,100,4689,100,100
"178",322,4,13,50603,4013050603,4536,2061,"W",3451572766,3451572766,4,13,50603,4013050603,4536,2061,"W",3451572766,3451572766,3451572766,3451572766,100,100,100,100,4536,100,100,2061,100,100
"234",378,4,13,61009,4013061009,8318,3528,"W",15255472,15251457,4,13,61009,4013061009,8318,3528,"W",15255472,15251457,15255472,15251457,100,100,100,100,8318,100,100,3528,100,100
"238",382,4,13,61100,4013061100,3118,2400,"P",9731060,9730942,4,13,61100,4013061100,3436,2576,"P",10104212,10104094,9363284,9363166,96.22,96.22,92.67,92.67,3118,100,90.75,2400,100,93.17
"239",383,4,13,61200,4013061200,6260,2306,"P",3991120,3991120,4,13,61200,4013061200,6114,2226,"W",3938549,3938549,3938549,3938549,98.68,98.68,100,100,6114,97.67,100,2226,96.53,100
"241",385,4,13,61300,4013061300,1784,646,"W",3659593,3659593,4,13,61300,4013061300,1930,726,"P",3729925,3729925,3659593,3659593,100,100,98.11,98.11,1784,100,92.44,646,100,88.98
"245",389,4,13,71503,4013071503,4708,3746,"W",4296959,4013778,4,13,71503,4013071503,4708,3746,"W",4296959,4013778,4296959,4013778,100,100,100,100,4708,100,100,3746,100,100
"246",390,4,13,71504,4013071504,3394,2627,"W",3362969,3332748,4,13,71504,4013071504,3394,2627,"W",3362969,3332748,3362969,3332748,100,100,100,100,3394,100,100,2627,100,100
"248",392,4,13,71505,4013071505,5966,4208,"P",6281443,6262594,4,13,71505,4013071505,5964,4207,"W",5926802,5909225,5926802,5909225,94.35,94.36,100,100,5964,99.97,100,4207,99.98,100
"250",394,4,13,71506,4013071506,4260,2876,"W",4203211,4181239,4,13,71506,4013071506,4260,2876,"P",4204215,4182243,4203211,4181239,100,100,99.98,99.98,4260,100,100,2876,100,100
"256",400,4,13,71509,4013071509,5401,2244,"W",4820890,4777534,4,13,71509,4013071509,5401,2244,"W",4820890,4777534,4820890,4777534,100,100,100,100,5401,100,100,2244,100,100
"257",401,4,13,71510,4013071510,4078,1355,"W",2600086,2600086,4,13,71510,4013071510,4078,1355,"W",2600086,2600086,2600086,2600086,100,100,100,100,4078,100,100,1355,100,100
