"","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"145",4,13,10100,4013010100,9716,6391,"P",2794980077,2762741625,4,13,10101,4013010101,5073,3137,"W",54316160,54285834,54316160,54285834,1.94,1.96,100,100,5073,52.21,100,3137,49.08,100
"146",4,13,10100,4013010100,9716,6391,"P",2794980077,2762741625,4,13,10102,4013010102,4640,3253,"W",2740265531,2708433980,2740265531,2708433980,98.04,98.03,100,100,4640,47.76,100,3253,50.9,100
"147",4,13,10100,4013010100,9716,6391,"P",2794980077,2762741625,4,13,941300,4013941300,6293,2609,"P",218380934,211256593,398386,21811,0.01,0,0.18,0.01,3,0.03,0.05,1,0.02,0.04
"148",4,13,20201,4013020201,971,308,"W",100902863,99968323,4,13,941200,4013941200,971,308,"W",100902863,99968323,100902863,99968323,100,100,100,100,971,100,100,308,100,100
"149",4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,216818,4013216818,6644,4425,"P",8420236,8420236,3436,3436,0,0,0.04,0.04,0,0,0,0,0,0
"150",4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,216821,4013216821,5737,3283,"P",15650395,15649417,145885,145885,0.07,0.07,0.93,0.93,0,0,0,0,0,0
"151",4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,216833,4013216833,4498,2284,"P",3234758,3234758,12252,12252,0.01,0.01,0.38,0.38,0,0,0,0,0,0
"152",4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,218300,4013218300,3953,2820,"P",2244217,2238683,50044,50044,0.02,0.02,2.23,2.24,0,0,0,0,0,0
"153",4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,318400,4013318400,4650,2396,"P",8626008,8388218,59238,59238,0.03,0.03,0.69,0.71,0,0,0,0,0,0
"154",4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,421201,4013421201,4806,2670,"P",5455731,4566480,6509,1933,0,0,0.12,0.04,0,0,0,0,0,0
"155",4,13,20202,4013020202,6290,2608,"P",217954205,211205325,4,13,941300,4013941300,6293,2609,"P",218380934,211256593,217676841,210932537,99.87,99.87,99.68,99.85,6290,100,99.95,2608,100,99.96
"156",4,13,30302,4013030302,4241,1684,"W",2295572,2295572,4,13,618600,4013618600,4241,1684,"W",2295572,2295572,2295572,2295572,100,100,100,100,4241,100,100,1684,100,100
"157",4,13,30303,4013030303,5074,2334,"W",1258093,1258093,4,13,618800,4013618800,5074,2334,"W",1258093,1258093,1258093,1258093,100,100,100,100,5074,100,100,2334,100,100
"158",4,13,30304,4013030304,6215,3055,"W",2571882,2571791,4,13,618900,4013618900,6215,3055,"W",2571882,2571791,2571882,2571791,100,100,100,100,6215,100,100,3055,100,100
