"","geoid","tract.fips","tract.fips20","part.flag","part.flag20","pct.1990","pct.2000","state.fips","state.fips20","county.fips","county.fips20"
"194","0401301010004013010100","010100","010100"," "," ",100,100,"04","04","013","013"
"195","0401302020004013020201","020200","020201","P"," ",11.4,100,"04","04","013","013"
"196","0401302020004013020202","020200","020202","P","P",88.6,99.9,"04","04","013","013"
"197","0401342020604013020202","420206","020202","P","P",0.1,0.1,"04","04","013","013"
"198","0401342110104013020202","421101","020202","P","P",0,0,"04","04","013","013"
"199","0401342120104013020202","421201","020202","P","P",0,0,"04","04","013","013"
"200","0401303030204013030302","030302","030302"," "," ",100,100,"04","04","013","013"
"201","0401303030304013030303","030303","030303","P"," ",65,100,"04","04","013","013"
"202","0401303030404013030304","030304","030304"," "," ",100,100,"04","04","013","013"
"203","0401303030304013030307","030303","030307","P"," ",35,100,"04","04","013","013"
"204","0401303031404013030308","030314","030308","P"," ",28.2,100,"04","04","013","013"
"205","0401303030904013030309","030309","030309"," "," ",100,100,"04","04","013","013"
"206","0401303031404013030310","030314","030310","P"," ",30.2,100,"04","04","013","013"
"207","0401303031104013030311","030311","030311"," ","P",100,97,"04","04","013","013"
"208","0401303034004013030311","030340","030311","P","P",1.7,3,"04","04","013","013"
"209","0401303031204013030312","030312","030312"," ","P",100,89.9,"04","04","013","013"
"210","0401303031304013030312","030313","030312","P","P",11,10.1,"04","04","013","013"
"211","0401303031304013030313","030313","030313","P"," ",59.4,100,"04","04","013","013"
"212","0401303031404013030314","030314","030314","P"," ",41.6,100,"04","04","013","013"
"213","0401303031504013030315","030315","030315"," "," ",100,100,"04","04","013","013"
"214","0401303032104013030316","030321","030316","P"," ",42,100,"04","04","013","013"
"215","0401303031804013030318","030318","030318"," "," ",100,100,"04","04","013","013"
"216","0401303031904013030319","030319","030319"," "," ",100,100,"04","04","013","013"
"217","0401303032204013030322","030322","030322","P"," ",55.2,100,"04","04","013","013"
"218","0401303032304013030323","030323","030323","P"," ",50.8,100,"04","04","013","013"
"219","0401303032204013030324","030322","030324","P"," ",44.8,100,"04","04","013","013"
"220","0401303032504013030325","030325","030325","P","P",23.8,99.1,"04","04","013","013"
"221","0401303034204013030325","030342","030325","P","P",0.1,0.9,"04","04","013","013"
"222","0401303032604013030326","030326","030326"," "," ",100,100,"04","04","013","013"
"223","0401303032304013030327","030323","030327","P"," ",49.2,100,"04","04","013","013"
"224","0401303032504013030328","030325","030328","P"," ",50.3,100,"04","04","013","013"
"225","0401303032904013030329","030329","030329","P","P",28.6,100,"04","04","013","013"
"226","0401304050904013030329","040509","030329","P","P",0,0,"04","04","013","013"
"227","0401303033004013030330","030330","030330"," "," ",100,100,"04","04","013","013"
"228","0401303033104013030331","030331","030331"," "," ",100,100,"04","04","013","013"
"229","0401303033204013030332","030332","030332","P"," ",45.6,100,"04","04","013","013"
"230","0401303033304013030333","030333","030333","P","P",10.2,100,"04","04","013","013"
"231","0401310321804013030333","103218","030333","P","P",0,0,"04","04","013","013"
"232","0401303033404013030334","030334","030334"," "," ",100,100,"04","04","013","013"
"233","0401303033504013030335","030335","030335","P"," ",70.7,100,"04","04","013","013"
"234","0401303033604013030336","030336","030336","P"," ",51.9,100,"04","04","013","013"
"235","0401303033704013030337","030337","030337"," "," ",100,100,"04","04","013","013"
"236","0401303033604013030338","030336","030338","P","P",25.5,26.1,"04","04","013","013"
"237","0401303033804013030338","030338","030338","P","P",10.1,48,"04","04","013","013"
"238","0401303034204013030338","030342","030338","P","P",4.7,25.8,"04","04","013","013"
"239","0401303033904013030339","030339","030339","P"," ",26.1,100,"04","04","013","013"
"240","0401303033904013030340","030339","030340","P","P",0,0,"04","04","013","013"
"241","0401303034004013030340","030340","030340","P","P",98.3,100,"04","04","013","013"
"242","0401303034104013030341","030341","030341","P"," ",54,100,"04","04","013","013"
"243","0401303032504013030342","030325","030342","P","P",25.9,42.3,"04","04","013","013"
"244","0401303034204013030342","030342","030342","P","P",13.1,57.7,"04","04","013","013"
"245","0401303034304013030343","030343","030343","P"," ",35.3,100,"04","04","013","013"
"246","0401303033804013030344","030338","030344","P"," ",15.4,100,"04","04","013","013"
"247","0401303033804013030345","030338","030345","P","P",15.9,100,"04","04","013","013"
"248","0401303034204013030345","030342","030345","P","P",0,0,"04","04","013","013"
"249","0401303033804013030346","030338","030346","P"," ",17.2,100,"04","04","013","013"
"250","0401303033804013030347","030338","030347","P"," ",10,100,"04","04","013","013"
"251","0401303033804013030348","030338","030348","P"," ",16,100,"04","04","013","013"
"252","0401303033804013030349","030338","030349","P"," ",9.9,100,"04","04","013","013"
"253","0401303033804013030350","030338","030350","P"," ",5.6,100,"04","04","013","013"
"254","0401303033904013030351","030339","030351","P","P",36.6,100,"04","04","013","013"
"255","0401303034004013030351","030340","030351","P","P",0,0,"04","04","013","013"
"256","0401303033904013030352","030339","030352","P"," ",37.2,100,"04","04","013","013"
"257","0401303033204013030354","030332","030354","P"," ",54.4,100,"04","04","013","013"
"258","0401303033304013030355","030333","030355","P"," ",21.4,100,"04","04","013","013"
"259","0401303033304013030356","030333","030356","P"," ",29.9,100,"04","04","013","013"
"260","0401303033304013030357","030333","030357","P"," ",23.4,100,"04","04","013","013"
"261","0401303033304013030358","030333","030358","P"," ",15,100,"04","04","013","013"
"262","0401303033504013030359","030335","030359","P"," ",29.3,100,"04","04","013","013"
"263","0401303033604013030360","030336","030360","P"," ",22.6,100,"04","04","013","013"
"264","0401303034204013030361","030342","030361","P"," ",19.2,100,"04","04","013","013"
"265","0401303034304013030363","030343","030363","P"," ",21.4,100,"04","04","013","013"
"266","0401303034304013030364","030343","030364","P"," ",8.3,100,"04","04","013","013"
"267","0401303034304013030365","030343","030365","P"," ",9,100,"04","04","013","013"
"268","0401303034304013030366","030343","030366","P"," ",9.4,100,"04","04","013","013"
"269","0401303034304013030367","030343","030367","P"," ",16.6,100,"04","04","013","013"
"270","0401303034104013030368","030341","030368","P"," ",46,100,"04","04","013","013"
"271","0401303031304013030369","030313","030369","P"," ",29.6,100,"04","04","013","013"
"272","0401303034204013030371","030342","030371","P"," ",31.9,100,"04","04","013","013"
"273","0401303034204013030372","030342","030372","P"," ",13.7,100,"04","04","013","013"
"274","0401303034204013030373","030342","030373","P"," ",7.6,100,"04","04","013","013"
"275","0401303034204013030374","030342","030374","P"," ",3.9,100,"04","04","013","013"
"276","0401303034204013030375","030342","030375","P"," ",5.9,100,"04","04","013","013"
"277","0401303032904013030377","030329","030377","P"," ",31.4,100,"04","04","013","013"
"278","0401303032904013030378","030329","030378","P","P",40.1,100,"04","04","013","013"
"279","0401303034204013030378","030342","030378","P","P",0,0,"04","04","013","013"
"280","0401303032104013030379","030321","030379","P"," ",29.1,100,"04","04","013","013"
"281","0401303032104013030380","030321","030380","P"," ",28.9,100,"04","04","013","013"
"282","0401303034304013030400","030343","030400","P","P",0,0,"04","04","013","013"
"283","0401303040004013030400","030400","030400"," ","P",100,96,"04","04","013","013"
"284","0401321681704013030400","216817","030400","P","P",0.6,4,"04","04","013","013"
"285","0401304050204013040502","040502","040502","P","P",99.5,99.1,"04","04","013","013"
"286","0401304050904013040502","040509","040502","P","P",0.3,0.9,"04","04","013","013"
"287","0401304050504013040505","040505","040505","P","P",97.9,100,"04","04","013","013"
"288","0401304050704013040505","040507","040505","P","P",0,0,"04","04","013","013"
"289","0401304050604013040506","040506","040506"," "," ",100,100,"04","04","013","013"
"290","0401304050504013040507","040505","040507","P","P",2.1,3,"04","04","013","013"
"291","0401304050704013040507","040507","040507","P","P",100,97,"04","04","013","013"
"292","0401304050804013040508","040508","040508","P"," ",47,100,"04","04","013","013"
"293","0401304050204013040509","040502","040509","P","P",0.5,0.1,"04","04","013","013"
"294","0401304050904013040509","040509","040509","P","P",99.7,99.9,"04","04","013","013"
"295","0401304050804013040510","040508","040510","P"," ",36.3,100,"04","04","013","013"
"296","0401304050804013040511","040508","040511","P","P",16.7,100,"04","04","013","013"
"297","0401304050904013040511","040509","040511","P","P",0,0,"04","04","013","013"
"298","0401305060004013050601","050600","050601","P","P",49.9,100,"04","04","013","013"
"299","0401305070004013050601","050700","050601","P","P",0,0,"04","04","013","013"
"300","0401304050904013050602","040509","050602","P","P",0,0,"04","04","013","013"
"301","0401305060004013050602","050600","050602","P","P",34.5,100,"04","04","013","013"
"302","0401305060004013050603","050600","050603","P","P",15.6,100,"04","04","013","013"
"303","0401372330004013050603","723300","050603","P","P",0,0,"04","04","013","013"
"304","0401305060004013050700","050600","050700","P","P",0,0,"04","04","013","013"
"305","0401305070004013050700","050700","050700","P","P",100,100,"04","04","013","013"
"306","0401306080004013060800","060800","060800"," ","P",100,100,"04","04","013","013"
"307","0401306090004013060800","060900","060800","P","P",0,0,"04","04","013","013"
"308","0401306090004013060900","060900","060900","P"," ",100,100,"04","04","013","013"
"309","0401306100204013061002","061002","061002"," "," ",100,100,"04","04","013","013"
"310","0401306100304013061003","061003","061003"," "," ",100,100,"04","04","013","013"
"311","0401306100404013061004","061004","061004","P"," ",97,100,"04","04","013","013"
"312","0401306100404013061005","061004","061005","P","P",0.8,0.5,"04","04","013","013"
"313","0401306100504013061005","061005","061005"," ","P",100,99.5,"04","04","013","013"
"314","0401306100604013061006","061006","061006","P","P",100,100,"04","04","013","013"
"315","0401306110004013061006","061100","061006","P","P",0,0,"04","04","013","013"
"316","0401306100704013061007","061007","061007"," "," ",100,100,"04","04","013","013"
