"","STATE10","COUNTY10","TRACT10","GEOID10"
"1",4,1,944202,4001944202
"2",4,1,944901,4001944901
"3",4,1,944902,4001944902
"4",4,1,945001,4001945001
"5",4,1,945002,4001945002
"6",4,1,970501,4001970501
"7",4,1,970502,4001970502
"8",4,3,201,4003000201
"9",4,3,202,4003000202
"10",4,3,203,4003000203
"11",4,3,301,4003000301
"12",4,3,302,4003000302
"13",4,3,303,4003000303
"14",4,3,901,4003000901
"15",4,3,902,4003000902
"16",4,3,1401,4003001401
"17",4,3,1402,4003001402
"18",4,3,1501,4003001501
"19",4,3,1502,4003001502
"20",4,3,1601,4003001601
"21",4,3,1602,4003001602
"22",4,3,1701,4003001701
"23",4,3,1702,4003001702
"24",4,3,1703,4003001703
"25",4,3,2001,4003002001
"26",4,3,2002,4003002002
"27",4,5,1101,4005001101
"28",4,5,1102,4005001102
"29",4,5,1301,4005001301
"30",4,5,1302,4005001302
"31",4,5,2200,4005002200
"32",4,5,2300,4005002300
"33",4,5,942201,4005942201
"34",4,5,942202,4005942202
"35",4,5,944900,4005944900
"36",4,5,945000,4005945000
"37",4,5,945100,4005945100
"38",4,5,945200,4005945200
"39",4,7,301,4007000301
"40",4,7,302,4007000302
"41",4,9,961100,4009961100
"42",4,9,961201,4009961201
"43",4,9,961202,4009961202
"44",4,9,961300,4009961300
"45",4,9,961400,4009961400
"46",4,9,961500,4009961500
"47",4,9,961600,4009961600
"48",4,9,961700,4009961700
"49",4,11,960100,4011960100
"50",4,11,960200,4011960200
"51",4,11,960300,4011960300
"52",4,12,20201,4012020201
"53",4,12,20202,4012020202
"54",4,12,20501,4012020501
"55",4,12,20502,4012020502
"56",4,12,20602,4012020602
"57",4,12,980000,4012980000
"58",4,13,10101,4013010101
"59",4,13,10102,4013010102
"60",4,13,30401,4013030401
"61",4,13,30402,4013030402
"62",4,13,40512,4013040512
"63",4,13,40513,4013040513
"64",4,13,40514,4013040514
"65",4,13,40515,4013040515
"66",4,13,40516,4013040516
"67",4,13,40517,4013040517
"68",4,13,40518,4013040518
"69",4,13,40519,4013040519
"70",4,13,40520,4013040520
"71",4,13,40521,4013040521
"72",4,13,40522,4013040522
"73",4,13,40523,4013040523
"74",4,13,40524,4013040524
"75",4,13,40525,4013040525
"76",4,13,40526,4013040526
"77",4,13,40527,4013040527
"78",4,13,40528,4013040528
"79",4,13,40529,4013040529
"80",4,13,40530,4013040530
"81",4,13,40531,4013040531
"82",4,13,50604,4013050604
"83",4,13,50605,4013050605
"84",4,13,50606,4013050606
"85",4,13,50607,4013050607
"86",4,13,50608,4013050608
"87",4,13,50609,4013050609
"88",4,13,50610,4013050610
"89",4,13,50611,4013050611
"90",4,13,50701,4013050701
"91",4,13,50702,4013050702
"92",4,13,60801,4013060801
"93",4,13,60802,4013060802
"94",4,13,60901,4013060901
"95",4,13,60902,4013060902
"96",4,13,60903,4013060903
"97",4,13,60904,4013060904
"98",4,13,61010,4013061010
"99",4,13,61011,4013061011
"100",4,13,61012,4013061012
"101",4,13,61013,4013061013
"102",4,13,61014,4013061014
"103",4,13,61015,4013061015
"104",4,13,61016,4013061016
"105",4,13,61017,4013061017
"106",4,13,61018,4013061018
"107",4,13,61019,4013061019
"108",4,13,61020,4013061020
"109",4,13,61021,4013061021
"110",4,13,61022,4013061022
"111",4,13,61023,4013061023
"112",4,13,61024,4013061024
"113",4,13,61025,4013061025
"114",4,13,61026,4013061026
"115",4,13,61027,4013061027
"116",4,13,61028,4013061028
"117",4,13,61029,4013061029
"118",4,13,61030,4013061030
"119",4,13,61031,4013061031
"120",4,13,61032,4013061032
"121",4,13,61033,4013061033
"122",4,13,61034,4013061034
"123",4,13,61035,4013061035
"124",4,13,61036,4013061036
"125",4,13,61037,4013061037
"126",4,13,61038,4013061038
"127",4,13,61039,4013061039
"128",4,13,61040,4013061040
"129",4,13,61041,4013061041
"130",4,13,61042,4013061042
"131",4,13,61043,4013061043
"132",4,13,61044,4013061044
"133",4,13,61045,4013061045
"134",4,13,61046,4013061046
"135",4,13,61047,4013061047
"136",4,13,61100,4013061100
"137",4,13,61300,4013061300
"138",4,13,61401,4013061401
"139",4,13,61402,4013061402
"140",4,13,71514,4013071514
"141",4,13,71515,4013071515
"142",4,13,71516,4013071516
"143",4,13,71517,4013071517
"144",4,13,71701,4013071701
"145",4,13,71702,4013071702
"146",4,13,71912,4013071912
"147",4,13,71913,4013071913
"148",4,13,71914,4013071914
"149",4,13,71915,4013071915
"150",4,13,82016,4013082016
"151",4,13,82017,4013082017
"152",4,13,82018,4013082018
"153",4,13,82019,4013082019
"154",4,13,82020,4013082020
"155",4,13,82021,4013082021
"156",4,13,82022,4013082022
"157",4,13,82023,4013082023
"158",4,13,82024,4013082024
"159",4,13,82025,4013082025
"160",4,13,82026,4013082026
"161",4,13,82027,4013082027
"162",4,13,82028,4013082028
"163",4,13,82203,4013082203
"164",4,13,82204,4013082204
"165",4,13,82205,4013082205
"166",4,13,82206,4013082206
"167",4,13,82207,4013082207
"168",4,13,82208,4013082208
"169",4,13,82209,4013082209
"170",4,13,82210,4013082210
"171",4,13,82211,4013082211
"172",4,13,83000,4013083000
"173",4,13,92311,4013092311
"174",4,13,92312,4013092312
"175",4,13,92401,4013092401
"176",4,13,92402,4013092402
"177",4,13,92715,4013092715
"178",4,13,92716,4013092716
"179",4,13,92717,4013092717
"180",4,13,92718,4013092718
"181",4,13,92719,4013092719
"182",4,13,92720,4013092720
"183",4,13,92721,4013092721
"184",4,13,92723,4013092723
"185",4,13,92724,4013092724
"186",4,13,92801,4013092801
"187",4,13,92802,4013092802
"188",4,13,93001,4013093001
"189",4,13,93002,4013093002
"190",4,13,93105,4013093105
"191",4,13,93106,4013093106
"192",4,13,93200,4013093200
"193",4,13,103219,4013103219
"194",4,13,103220,4013103220
"195",4,13,103701,4013103701
"196",4,13,103702,4013103702
"197",4,13,104301,4013104301
"198",4,13,104302,4013104302
"199",4,13,104401,4013104401
"200",4,13,104402,4013104402
"201",4,13,104701,4013104701
"202",4,13,104702,4013104702
"203",4,13,105003,4013105003
"204",4,13,105004,4013105004
"205",4,13,105501,4013105501
"206",4,13,105502,4013105502
"207",4,13,105503,4013105503
"208",4,13,106001,4013106001
"209",4,13,106002,4013106002
"210",4,13,106003,4013106003
"211",4,13,106501,4013106501
"212",4,13,106502,4013106502
"213",4,13,106701,4013106701
"214",4,13,106702,4013106702
"215",4,13,106703,4013106703
"216",4,13,106801,4013106801
"217",4,13,106802,4013106802
"218",4,13,107601,4013107601
"219",4,13,107602,4013107602
"220",4,13,108301,4013108301
"221",4,13,108302,4013108302
"222",4,13,108501,4013108501
"223",4,13,108502,4013108502
"224",4,13,109001,4013109001
"225",4,13,109002,4013109002
"226",4,13,109003,4013109003
"227",4,13,109101,4013109101
"228",4,13,109102,4013109102
