"","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"1",4,1,940100,4001940100,525,127,"W",8794102,8607339,4,1,970502,4001970502,4276,3939,"P",4592892271,4570221931,8794102,8607339,100,100,0.19,0.19,525,100,12.28,127,100,3.22
"2",4,1,940300,4001940300,30,194,"W",2017109147,2008057710,4,1,970502,4001970502,4276,3939,"P",4592892271,4570221931,2017109147,2008057710,100,100,43.92,43.94,30,100,0.7,194,100,4.93
"3",4,1,942600,4001942600,1578,667,"W",1525223732,1524744635,4,1,942600,4001942600,1578,667,"W",1525223732,1524744635,1525223732,1524744635,100,100,100,100,1578,100,100,667,100,100
"4",4,1,942700,4001942700,5628,2393,"P",2992187839,2990088279,4,1,942700,4001942700,5628,2393,"W",2992182894,2990083334,2992182894,2990083334,100,100,100,100,5628,100,100,2393,100,100
"5",4,1,944000,4001944000,6043,2358,"W",775706175,775078530,4,1,944000,4001944000,6043,2359,"P",792800205,792172560,775706175,775078530,100,100,97.84,97.84,6043,100,100,2358,100,99.96
"6",4,1,944100,4001944100,5870,2411,"W",1795606415,1792116861,4,1,944100,4001944100,5870,2418,"P",1834324505,1830834021,1795606415,1792116861,100,100,97.89,97.89,5870,100,100,2411,100,99.71
"7",4,1,944200,4001944200,8063,2876,"P",994685689,994299968,4,1,944000,4001944000,6043,2359,"P",792800205,792172560,17094030,17094030,1.72,1.72,2.16,2.16,0,0,0,1,0.03,0.04
"8",4,1,944200,4001944200,8063,2876,"P",994685689,994299968,4,1,944100,4001944100,5870,2418,"P",1834324505,1830834021,38718090,38717160,3.89,3.89,2.11,2.11,0,0,0,7,0.24,0.29
"9",4,1,944200,4001944200,8063,2876,"P",994685689,994299968,4,1,944201,4001944201,4010,1383,"W",502272552,502006359,502272552,502006359,50.5,50.49,100,100,4010,49.73,100,1383,48.09,100
"10",4,1,944200,4001944200,8063,2876,"P",994685689,994299968,4,1,944202,4001944202,4053,1485,"W",429487024,429368426,429487024,429368426,43.18,43.18,100,100,4053,50.27,100,1485,51.63,100
