04001976000P 370094304001940100 3491000 349 8666AZApache
04001970400P 1515000004001940300P 210000 0 276AZApache
04001976000P 370005704001940300P 211000 21 2008846AZApache
04001977100 1809100004001942600 18091000 1809 1526017AZApache
04001977200P 5659100004001942700 56571000 5657 2990470AZApache
04001977600P 5870099304001944000 58301000 5830 775617AZApache
04001977200P 5659000004001944100P 52070000 2 15050AZApache
04001977300P 5205100004001944100P 52071000 5205 1779136AZApache
04001977300P 5205000004001944200P 88390000 0 152AZApache
04001977400P 8839100004001944200P 88391000 8839 995483AZApache
04001977500P 6881000004001944200P 88390000 0 5AZApache
04001977400P 8839000004001944300P 68810000 0 211AZApache
04001977500P 6881100004001944300P 68811000 6881 2634098AZApache
04001977800P 9777000004001944300P 68810000 0 73AZApache
04001970100P 2109000004001944900P 97770000 0 34105AZApache
04001977500P 6881000004001944900P 97770000 0 373AZApache
04001977800P 9777100004001944900P 97771000 9777 4245971AZApache
04001970100P 2109001004001945000P 90270002 22 2948AZApache
04001977600P 5870000704001945000P 90270004 40 24771AZApache
04001977700P 8976099904001945000P 90270993 8965 1246396AZApache
04001970100P 2109094604001945100P 20070995 1996 1519049AZApache
04001977700P 8976000104001945100P 20070005 11 91715AZApache
04001977800P 9777000004001945100P 20070000 0 6468AZApache
04001970100P 2109004304001970200P 34660026 91 2597603AZApache
04001970200 3375100004001970200P 34660974 3375 2566109AZApache
04001970300 2824100004001970300P 34360822 2824 1146726AZApache
04001970500P 6214009804001970300P 34360178 612 232479AZApache
04001970400P 1515100004001970400P 71170213 1515 2479959AZApache
04001970500P 6214090204001970400P 71170787 5602 91729AZApache
04003000100P 2224100004003000100P 22740978 2223 3399485AZCochise
04003000200P 9985000504003000100P 22740022 51 26086AZCochise
04003000100P 2224000004003000200P 99160000 1 3785AZCochise
04003000200P 9985099304003000200P 99161000 9915 1754702AZCochise
04003000300P 11018099904003000300P 110121000 11012 2385732AZCochise
04003000400P 2176000004003000300P 110120000 0 1545AZCochise
04003000200P 9985000204003000400P 22000009 19 26564AZCochise
04003000300P 11018000104003000400P 22000003 6 5058AZCochise
04003000400P 2176100004003000400P 22000989 2175 980102AZCochise
04003000400P 2176000004003000500P 52290000 1 2694AZCochise
04003000500P 5310098504003000500P 52291000 5228 4279230AZCochise
04003000500P 5310001404003000600P 33750022 74 3840AZCochise
04003000600P 3301100004003000600P 33750978 3301 606072AZCochise
04003000600P 3301000004003000700P 40520000 0 13AZCochise
04003000700 4028100004003000700P 40520994 4028 33531AZCochise
04003000800P 4975000504003000700P 40520006 24 21AZCochise
04003000800P 4975099504003000800 49511000 4951 19204AZCochise
