"","paste0.setdiff.Import.0010.mcpa.TRACT00..Import.0010.mcpa.TRACT10..","paste0.setdiff.Import.0010.mcpa.GEOID00..Import.0010.mcpa.GEOID10.."
"1","10100","4013010100"
"2","20201","4013020201"
"3","20202","4013020202"
"4","30302","4013030302"
"5","30303","4013030303"
"6","30304","4013030304"
"7","30307","4013030307"
"8","30308","4013030308"
"9","30309","4013030309"
"10","30310","4013030310"
"11","30311","4013030311"
"12","30312","4013030312"
"13","30313","4013030313"
"14","30314","4013030314"
"15","30315","4013030315"
"16","30316","4013030316"
"17","30318","4013030318"
"18","30319","4013030319"
"19","30322","4013030322"
"20","30323","4013030323"
"21","30324","4013030324"
"22","30325","4013030325"
"23","30326","4013030326"
"24","30327","4013030327"
"25","30328","4013030328"
"26","30329","4013030329"
"27","30330","4013030330"
"28","30331","4013030331"
"29","30332","4013030332"
"30","30333","4013030333"
"31","30334","4013030334"
"32","30335","4013030335"
"33","30336","4013030336"
"34","30337","4013030337"
"35","30338","4013030338"
"36","30339","4013030339"
"37","30340","4013030340"
"38","30341","4013030341"
"39","30342","4013030342"
"40","30343","4013030343"
"41","30344","4013030344"
"42","30345","4013030345"
"43","30346","4013030346"
"44","30347","4013030347"
"45","30348","4013030348"
"46","30349","4013030349"
"47","30350","4013030350"
"48","30351","4013030351"
"49","30352","4013030352"
"50","30354","4013030354"
"51","30355","4013030355"
"52","30356","4013030356"
"53","30357","4013030357"
"54","30358","4013030358"
"55","30359","4013030359"
"56","30360","4013030360"
"57","30361","4013030361"
"58","30363","4013030363"
"59","30364","4013030364"
"60","30365","4013030365"
"61","30366","4013030366"
"62","30367","4013030367"
"63","30368","4013030368"
"64","30369","4013030369"
"65","30371","4013030371"
"66","30372","4013030372"
"67","30373","4013030373"
"68","30374","4013030374"
"69","30375","4013030375"
"70","30377","4013030377"
"71","30378","4013030378"
"72","30379","4013030379"
"73","30380","4013030380"
"74","30400","4013030400"
"75","40505","4013040505"
"76","40508","4013040508"
"77","40509","4013040509"
"78","40510","4013040510"
"79","40511","4013040511"
"80","50601","4013050601"
"81","50602","4013050602"
"82","50700","4013050700"
"83","60800","4013060800"
"84","60900","4013060900"
"85","61002","4013061002"
"86","61003","4013061003"
"87","61004","4013061004"
"88","61005","4013061005"
"89","61006","4013061006"
"90","61007","4013061007"
"91","61008","4013061008"
"92","61400","4013061400"
"93","71507","4013071507"
"94","71508","4013071508"
"95","71700","4013071700"
"96","71904","4013071904"
"97","71908","4013071908"
"98","82011","4013082011"
"99","82013","4013082013"
"100","82014","4013082014"
"101","82015","4013082015"
"102","82100","4013082100"
"103","82201","4013082201"
"104","82202","4013082202"
"105","92304","4013092304"
"106","92310","4013092310"
"107","92400","4013092400"
"108","92703","4013092703"
"109","92704","4013092704"
"110","92706","4013092706"
"111","92707","4013092707"
"112","92714","4013092714"
"113","92800","4013092800"
"114","93000","4013093000"
"115","93102","4013093102"
"116","103218","4013103218"
"117","103700","4013103700"
"118","104300","4013104300"
"119","104400","4013104400"
"120","104700","4013104700"
"121","105001","4013105001"
"122","105500","4013105500"
"123","106000","4013106000"
"124","106500","4013106500"
"125","106700","4013106700"
"126","106800","4013106800"
"127","107600","4013107600"
"128","108300","4013108300"
"129","108500","4013108500"
"130","108700","4013108700"
"131","108801","4013108801"
"132","109000","4013109000"
"133","109100","4013109100"
"134","110200","4013110200"
"135","110300","4013110300"
"136","110500","4013110500"
"137","110800","4013110800"
"138","110900","4013110900"
"139","112000","4013112000"
"140","112506","4013112506"
"141","112800","4013112800"
"142","113500","4013113500"
"143","113800","4013113800"
"144","114701","4013114701"
"145","114702","4013114702"
"146","115000","4013115000"
"147","115100","4013115100"
"148","116601","4013116601"
"149","116705","4013116705"
"150","116726","4013116726"
"151","216802","4013216802"
"152","216811","4013216811"
"153","216812","4013216812"
"154","216814","4013216814"
"155","216815","4013216815"
"156","216817","4013216817"
"157","216823","4013216823"
"158","216824","4013216824"
"159","216825","4013216825"
"160","216827","4013216827"
"161","216828","4013216828"
"162","217202","4013217202"
"163","217500","4013217500"
"164","318502","4013318502"
"165","318600","4013318600"
"166","319102","4013319102"
"167","319200","4013319200"
"168","319702","4013319702"
"169","420101","4013420101"
"170","420102","4013420102"
"171","420103","4013420103"
"172","420106","4013420106"
"173","420203","4013420203"
"174","420204","4013420204"
"175","420400","4013420400"
"176","420502","4013420502"
"177","420702","4013420702"
"178","420703","4013420703"
"179","421000","4013421000"
"180","421301","4013421301"
"181","421700","4013421700"
"182","422214","4013422214"
"183","422601","4013422601"
"184","422602","4013422602"
"185","422603","4013422603"
"186","422604","4013422604"
"187","422605","4013422605"
"188","422608","4013422608"
"189","422611","4013422611"
"190","422612","4013422612"
"191","422614","4013422614"
"192","422619","4013422619"
"193","522703","4013522703"
"194","522708","4013522708"
"195","522709","4013522709"
"196","522711","4013522711"
"197","522712","4013522712"
"198","522713","4013522713"
"199","522714","4013522714"
"200","522715","4013522715"
"201","522716","4013522716"
"202","522717","4013522717"
"203","522718","4013522718"
"204","522719","4013522719"
"205","522720","4013522720"
"206","522721","4013522721"
"207","522722","4013522722"
"208","522723","4013522723"
"209","522724","4013522724"
"210","522725","4013522725"
"211","522726","4013522726"
"212","522727","4013522727"
"213","522729","4013522729"
"214","522730","4013522730"
"215","522731","4013522731"
"216","522732","4013522732"
"217","522735","4013522735"
"218","522736","4013522736"
"219","522737","4013522737"
"220","522738","4013522738"
"221","522739","4013522739"
"222","522740","4013522740"
"223","522741","4013522741"
"224","522742","4013522742"
"225","522743","4013522743"
"226","522744","4013522744"
"227","522745","4013522745"
"228","522746","4013522746"
"229","522747","4013522747"
"230","522748","4013522748"
"231","522749","4013522749"
"232","522757","4013522757"
"233","522902","4013522902"
"234","723301","4013723301"
"235","723302","4013723302"
