"STATEFP00","COUNTYFP00","TRACT4","TRACT2","MISSING","TRACTCE00","GEOID_1990"
"04","013","0101","00",FALSE,"010100","010100"
"04","013","0202","01",FALSE,"020201","020201"
"04","013","0202","02",FALSE,"020202","020202"
"04","013","0303","02",FALSE,"030302","030302"
"04","013","0303","03",FALSE,"030303","030303"
"04","013","0303","04",FALSE,"030304","030304"
"04","013","0303","07",FALSE,"030307","030307"
"04","013","0303","08",FALSE,"030308","030308"
"04","013","0303","09",FALSE,"030309","030309"
"04","013","0303","10",FALSE,"030310","030310"
"04","013","0303","11",FALSE,"030311","030311"
"04","013","0303","12",FALSE,"030312","030312"
"04","013","0303","13",FALSE,"030313","030313"
"04","013","0303","14",FALSE,"030314","030314"
"04","013","0303","15",FALSE,"030315","030315"
"04","013","0303","16",FALSE,"030316","030316"
"04","013","0303","18",FALSE,"030318","030318"
"04","013","0303","19",FALSE,"030319","030319"
"04","013","0303","22",FALSE,"030322","030322"
"04","013","0303","23",FALSE,"030323","030323"
"04","013","0303","24",FALSE,"030324","030324"
"04","013","0303","25",FALSE,"030325","030325"
"04","013","0303","26",FALSE,"030326","030326"
"04","013","0303","27",FALSE,"030327","030327"
"04","013","0303","28",FALSE,"030328","030328"
"04","013","0303","29",FALSE,"030329","030329"
"04","013","0303","30",FALSE,"030330","030330"
"04","013","0303","31",FALSE,"030331","030331"
"04","013","0303","32",FALSE,"030332","030332"
"04","013","0303","33",FALSE,"030333","030333"
"04","013","0303","34",FALSE,"030334","030334"
"04","013","0303","35",FALSE,"030335","030335"
"04","013","0303","36",FALSE,"030336","030336"
"04","013","0303","37",FALSE,"030337","030337"
"04","013","0303","38",FALSE,"030338","030338"
"04","013","0303","39",FALSE,"030339","030339"
"04","013","0303","40",FALSE,"030340","030340"
"04","013","0303","41",FALSE,"030341","030341"
"04","013","0303","42",FALSE,"030342","030342"
"04","013","0303","43",FALSE,"030343","030343"
"04","013","0303","44",FALSE,"030344","030344"
"04","013","0303","45",FALSE,"030345","030345"
"04","013","0303","46",FALSE,"030346","030346"
"04","013","0303","47",FALSE,"030347","030347"
"04","013","0303","48",FALSE,"030348","030348"
"04","013","0303","49",FALSE,"030349","030349"
"04","013","0303","50",FALSE,"030350","030350"
"04","013","0303","51",FALSE,"030351","030351"
"04","013","0303","52",FALSE,"030352","030352"
"04","013","0303","54",FALSE,"030354","030354"
"04","013","0303","55",FALSE,"030355","030355"
"04","013","0303","56",FALSE,"030356","030356"
"04","013","0303","57",FALSE,"030357","030357"
"04","013","0303","58",FALSE,"030358","030358"
"04","013","0303","59",FALSE,"030359","030359"
"04","013","0303","60",FALSE,"030360","030360"
"04","013","0303","61",FALSE,"030361","030361"
"04","013","0303","63",FALSE,"030363","030363"
"04","013","0303","64",FALSE,"030364","030364"
"04","013","0303","65",FALSE,"030365","030365"
"04","013","0303","66",FALSE,"030366","030366"
"04","013","0303","67",FALSE,"030367","030367"
"04","013","0303","68",FALSE,"030368","030368"
"04","013","0303","69",FALSE,"030369","030369"
"04","013","0303","71",FALSE,"030371","030371"
"04","013","0303","72",FALSE,"030372","030372"
"04","013","0303","73",FALSE,"030373","030373"
"04","013","0303","74",FALSE,"030374","030374"
"04","013","0303","75",FALSE,"030375","030375"
"04","013","0303","77",FALSE,"030377","030377"
"04","013","0303","78",FALSE,"030378","030378"
"04","013","0303","79",FALSE,"030379","030379"
"04","013","0303","80",FALSE,"030380","030380"
"04","013","0304","00",FALSE,"030400","030400"
"04","013","0405","02",FALSE,"040502","040502"
"04","013","0405","05",FALSE,"040505","040505"
"04","013","0405","06",FALSE,"040506","040506"
"04","013","0405","07",FALSE,"040507","040507"
"04","013","0405","08",FALSE,"040508","040508"
"04","013","0405","09",FALSE,"040509","040509"
"04","013","0405","10",FALSE,"040510","040510"
"04","013","0405","11",FALSE,"040511","040511"
"04","013","0506","01",FALSE,"050601","050601"
"04","013","0506","02",FALSE,"050602","050602"
"04","013","0506","03",FALSE,"050603","050603"
"04","013","0507","00",FALSE,"050700","050700"
"04","013","0608","00",FALSE,"060800","060800"
"04","013","0609","00",FALSE,"060900","060900"
"04","013","0610","02",FALSE,"061002","061002"
"04","013","0610","03",FALSE,"061003","061003"
"04","013","0610","04",FALSE,"061004","061004"
"04","013","0610","05",FALSE,"061005","061005"
"04","013","0610","06",FALSE,"061006","061006"
"04","013","0610","07",FALSE,"061007","061007"
"04","013","0610","08",FALSE,"061008","061008"
"04","013","0610","09",FALSE,"061009","061009"
"04","013","0611","00",FALSE,"061100","061100"
"04","013","0612","00",FALSE,"061200","061200"
"04","013","0613","00",FALSE,"061300","061300"
"04","013","0614","00",FALSE,"061400","061400"
"04","013","0715","03",FALSE,"071503","071503"
"04","013","0715","04",FALSE,"071504","071504"
"04","013","0715","05",FALSE,"071505","071505"
"04","013","0715","06",FALSE,"071506","071506"
"04","013","0715","07",FALSE,"071507","071507"
