"","state","county","tract","Total_2000","White_2000","Black_2000","Indian_2000","Other_Race_2000","Asian_or_Pacific_Islander_2000"
"1","04","013","010100",4120,4071,0,12,37,0
"2","04","013","020201",829,29,7,748,31,14
"3","04","013","020202",6403,1212,20,3381,1622,168
"4","04","013","030302",4499,3711,67,50,562,109
"5","04","013","030303",5533,4308,104,213,878,30
"6","04","013","030304",6523,5822,161,89,302,149
"7","04","013","030307",2907,2556,0,40,243,68
"8","04","013","030308",3075,2816,123,0,91,45
"9","04","013","030309",4899,4489,135,0,198,77
"10","04","013","030310",2961,2397,40,71,387,66
"11","04","013","030311",3517,3376,33,0,82,26
"12","04","013","030312",5257,5180,70,0,7,0
"13","04","013","030313",2755,2748,0,0,0,7
"14","04","013","030314",4256,3583,114,133,310,116
"15","04","013","030315",6976,5792,128,143,762,151
"16","04","013","030316",4625,4205,137,32,251,0
"17","04","013","030318",2789,2568,53,10,89,69
"18","04","013","030319",6005,5272,50,71,479,133
"19","04","013","030322",4135,3632,260,0,126,117
"20","04","013","030323",3982,3495,41,52,394,0
"21","04","013","030324",3505,3339,17,0,131,18
"22","04","013","030325",3640,3413,74,35,98,20
"23","04","013","030326",4681,3942,105,33,342,259
"24","04","013","030327",4001,3216,188,47,357,193
"25","04","013","030328",7229,6349,215,69,431,165
"26","04","013","030329",3744,3261,314,123,13,33
"27","04","013","030330",4750,4111,124,15,435,65
"28","04","013","030331",2047,1790,17,81,147,12
"29","04","013","030332",3683,3236,87,0,237,123
"30","04","013","030333",2782,2606,0,0,80,96
"31","04","013","030334",5364,4750,81,13,391,129
"32","04","013","030335",6147,5594,53,103,273,124
"33","04","013","030336",3739,3460,77,0,134,68
"34","04","013","030337",5121,4488,161,46,327,99
"35","04","013","030338",6964,6205,142,103,265,249
"36","04","013","030339",2262,2157,0,0,93,12
"37","04","013","030340",6060,5527,141,80,280,32
"38","04","013","030341",3245,3207,20,0,18,0
"39","04","013","030342",8724,7628,190,141,632,133
"40","04","013","030343",9466,9109,65,25,192,75
"41","04","013","030344",5083,4662,89,19,224,89
"42","04","013","030345",5261,4723,94,0,332,112
"43","04","013","030346",5765,4704,172,0,485,404
"44","04","013","030347",3265,3121,52,0,83,9
"45","04","013","030348",5291,4698,77,0,292,224
"46","04","013","030349",3231,2772,44,0,281,134
"47","04","013","030350",1844,1579,46,34,86,99
"48","04","013","030351",3150,2702,125,10,158,155
"49","04","013","030352",3328,3022,104,38,94,70
"50","04","013","030354",4391,3929,12,33,294,123
"51","04","013","030355",5822,4898,83,113,728,0
"52","04","013","030356",8125,7496,143,76,234,176
"53","04","013","030357",6369,5881,179,24,101,184
"54","04","013","030358",4071,3811,6,0,155,99
"55","04","013","030359",2565,2324,63,0,57,121
"56","04","013","030360",1602,1571,0,0,23,8
"57","04","013","030361",7393,6757,155,36,339,106
"58","04","013","030363",5775,5438,92,42,110,93
